별점, 내용, 날짜, 좋아요, 싫어요
7, '아까전에 보고 왔는데 재밌진 않아요.지루하고잔잔하고조용한 영화에요.무슨 내용인지 잘은 모르겠지만 배우 윤여정님이 나오셔서 보는 맛은 조금 솔솔했지만 재미는 없었어요', '2021.05.18', 11, 2
1, '뜬금없이 끝나서 아쉬워요', '2021.04.30', 12, 3
1, '노잼.. 기대가 너무 컸나봄', '2021.04.28', 12, 3
6, '졸려..', '2021.03.20', 12, 3
6, '하나 같이 연기자들 연기가 붕뜬 어색한...   저마다의 따로 국밥식 연기에 1점', '2021.03.03', 12, 3
1, '걍심심풀이용 재미없음', '2021.03.13', 13, 4
1, '롯데시네마 명동 관람 - 영화보다 드라마 보는 것 같은 느낌으로 봤어요.한번에 담기에는 뭔가 부족한 전개.배경도 외국 같은 느낌 거의 없고 그냥 시골 느낌만 잔잔한 감동이 있을 줄 알았는데? 보는 관점에 따라 다...', '2021.03.07', 14, 5
1, '외국인들 눈에는 영화가 신선했나보다. 나에겐 스티븐 연 한국말 많이 늘었네 정도의 감흥.', '2021.03.14', 15, 6
4, '생각보다 많이 별로였어요.  결말도 그렇고 마치 10부작 드라마중 1부만 본것같은 느낌.', '2021.03.14', 15, 6
8, '2021.03.07 (일) 2시간이 사라졌다', '2021.03.03', 15, 6
6, '영화에 재미를 빼면 그게 무슨 영화임? 고문이지ㅋㅋ', '2021.04.20', 16, 7
10, '전형적인.일벌려놓는 옛날 우리네 아빠들 이야기같아서 속이답답했네요 참다보면 좋은날이온다는게 팩트일까요', '2021.03.03', 17, 8
1, '', '2021.03.07', 19, 10
1, '외국인들의 시선과 한국인들의 시선의 확연한 차이ㅠ', '2021.03.03', 20, 11
1, '스티븐연 한국어 진짜 연습 했나보다ㅋㅋㅋㅋ 한국어 발음이 안어색해', '2021.03.03', 21, 12
10, '가슴에 손을 얹고 말해보자...이게 재미있냐?ㅋㅋㅋ 외국에서 상 하나 던져주니 아주 대단한 작품인 것처럼 생각하고 빨아대는 모습이 왤케 웃기냐', '2021.03.03', 28, 19
